"PlotID","Long_Dec","Lat_Dec","HFP","HII","SubstrateAge_range","SubstrateAge_code","MAT","MAP","PET","AridInd","Elev_m"
229,-157.779529,21.349632,57.4381904602051,36.9587936401367,2400000,3e+06,21.7266998291016,2582.70288085938,2858.71411132812,0.903449166401421,211.557464599609
230,-159.683902777778,22.1267555555556,34,22,4750000,5e+06,17.4200706481934,1275.08203125,2204.86108398438,0.578304928374815,937.666748046875
231,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
232,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
233,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
234,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
235,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
236,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
237,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
238,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
239,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
240,-154.872306,19.440743,34,22,227,100,22.9420700073242,2505.15502929688,4041.27197265625,0.619892708594489,52.2170104980469
241,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
242,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
243,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
244,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
245,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
246,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
247,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
248,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
249,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
250,-154.868508,19.440783,34,22,227,100,22.9494590759277,2486.72192382812,4229.919921875,0.587888652683012,49.7292213439941
251,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
252,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
253,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
254,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
255,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
256,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
257,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
258,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
259,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
260,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
261,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
262,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
263,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
264,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
265,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
266,-154.884626,19.525996,28,18,575,475,22.4754905700684,2895.837890625,3343.57592773438,0.86609006441413,82.8706283569336
267,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
268,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
269,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
270,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
271,-154.905455,19.530393,28,18,177,100,22.2430801391602,3193.44897460938,3523.38500976562,0.906358222492921,104.844665527344
272,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
273,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
274,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
275,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
276,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
277,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
278,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
279,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
280,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
281,-154.873548,19.52276,28,18,300,475,22.4048194885254,2765.4990234375,3337.76000976562,0.828549391012595,90.0648956298828
282,-159.479912,22.186576,28,18,4750000,5e+06,20.7365398406982,2447.13110351562,3552.9541015625,0.688759559950251,304.609405517578
283,-154.99774,19.54567,50.0786895751953,32.3857917785645,1033.5,475,21.6073093414307,3631.59204101562,2949.14501953125,1.23140504009289,164.070114135742
284,-155.983333333333,19.7333333333333,51.9371185302734,33.2914123535156,2250,2250,NA,NA,NA,NA,NA
285,-158.100992,21.413189,53,34,3010000,3e+06,18.0519008636475,1159.46899414062,2870.46411132812,0.40393084503821,852.602905273438
286,-155.194924,19.905336,15,10,182000,95000,18.6758708953857,5341.55615234375,2526.22900390625,2.11443861347654,554.407470703125
287,-159.626792,22.14813,28,18,4750000,5e+06,15.3090295791626,2225.57397460938,2830.72705078125,0.786219912652879,1164.15979003906
288,-157.929437,21.533393,47.5071105957031,30.7042675018311,2400000,3e+06,17.4940299987793,5492.32421875,2417.13110351562,2.27224920103077,631.030334472656
289,-155.257481,19.694877,17,11,162,100,15.7631702423096,6170.2939453125,1522.82397460938,4.05187601994201,1037.54150390625
290,-155.329258,19.677957,17,11,162,100,13.2803802490234,2819.62890625,1641.06494140625,1.71817021685554,1490.03576660156
291,-155.465774,19.687161,9.77722930908203,6.51815319061279,37500,20000,10.5445699691772,1033.53405761719,2002.98303222656,0.515997410356635,2014.60729980469
292,-155.237235,19.414151,21.0221538543701,13.6326971054077,1033.5,475,15.3093595504761,2796.88500976562,2275.07690429688,1.22935844695325,1202.71130371094
293,-155.237542,19.413278,21.0221538543701,13.6326971054077,1033.5,475,15.3866596221924,2702.17797851562,2295.1640625,1.1773354343882,1197.47351074219
294,-156.546013,20.947536,37.8901672363281,24.6160278320312,1200000,1500000,19.5463695526123,2081.67602539062,2049.15600585938,1.01586995789401,593.092163085938
295,-159.645938888889,22.061,31.3102779388428,20.2068519592285,3750000,3e+06,21.3092308044434,1063.10302734375,2490.11303710938,0.426929625884712,361.400085449219
296,-158.016838,21.623398,43,28,2400000,3e+06,21.9872703552246,1961.92700195312,4059.23095703125,0.483324802831124,211.629150390625
297,-158.18,21.5,52.8074340820312,33.8844604492188,NA,NA,21.4458103179932,1634.82104492188,3227.162109375,0.506581631016512,348.660034179688
298,-157.72,21.29,73.0368423461914,47.0230293273926,2400000,3e+06,NA,NA,NA,NA,NA
299,-156.64,20.97,53.9072723388672,34.6939468383789,1200000,1500000,21.3913707733154,1863.13903808594,2979.1279296875,0.625397459276404,307.094360351562
300,-157.85,21.4,60.5128631591797,39.0085754394531,2400000,3e+06,20.1055698394775,3271.86303710938,3110.56591796875,1.05185458961305,468.488342285156
301,-155.3,19.85,14,9,37500,20000,12.5252504348755,3026.97192382812,2084.19506835938,1.45234578556549,1635.23779296875
302,-155.34,19.44,15,10,2250,2250,14.6851997375488,1813.36901855469,2441.75903320312,0.742648637271914,1381.58239746094
303,-155.19,19.79,28,18,37500,20000,16.592399597168,7005.12109375,1703.2900390625,4.11270008812219,807.5576171875
304,-159.72,22.07,28,18,4750000,5e+06,19.8351593017578,861.059020996094,2027.48596191406,0.42469296319231,591.66650390625
305,-155.78,19.19,18,12,2250,2250,13.7326698303223,847.164184570312,1661.42004394531,0.509903674063413,1518.908203125
306,-155.29,19.92,15,10,8000,7500,14.567310333252,3317.36010742188,2227.7958984375,1.48907721292986,1281.52355957031
307,-155.41,19.4,9,6,1125,1125,14.3093595504761,1601.09594726562,1620.40905761719,0.988081336462064,1427.33203125
308,-159.65,22.13,34,22,4150000,5e+06,16.1452808380127,1630.97094726562,2643.27587890625,0.617026380137248,1134.17541503906
309,-155.48,19.33,9,6,1125,1125,15.2055196762085,2299.626953125,1592.14904785156,1.44435406737083,1265.62976074219
310,-155.55,19.26,15,10,20500,20000,14.054349899292,2442.73999023438,1510.90698242188,1.61673750843274,1455.64794921875
311,-155.5,19.31,12.6803665161133,8.45357799530029,1125,1125,14.4140300750732,2274.34399414062,1545.123046875,1.47195008108931,1388.34777832031
312,-155.21,19.86,28,18,37500,20000,16.43869972229,6769.76220703125,1886.75,3.58805470095733,870.439514160156
313,-155.5,19.37,9,6,1125,1125,10.9394798278809,1835.82604980469,1374.95104980469,1.33519375112697,1959.35217285156
314,-157.95,21.5,48.5026168823242,31.3015689849854,2400000,3e+06,19.9162502288818,3881.30493164062,3290.11303710938,1.17968741130264,396.974975585938
315,-155.89,19.69,18,12,4000,4000,10.750129699707,773.333679199219,1723.27404785156,0.448758385332471,2009.27416992188
316,-155.24,19.71,17,11,20500,20000,16.3442192077637,6314.18212890625,1567.66296386719,4.02776762253164,931.964294433594
317,-155.26,19.94,15,10,37500,20000,17.0863304138184,4545.63720703125,2287.7958984375,1.98690679100168,845.650573730469
318,-155.23,19.91,15,10,182000,95000,17.2417907714844,5112.59521484375,2133.38500976562,2.39647095645686,787.572692871094
319,-157.99,21.64,43,28,2400000,3e+06,20.2808704376221,2567.90087890625,3608.40405273438,0.711644494734548,437.964630126953
320,-158.18,21.54,28,18,3305000,3e+06,20.1129703521729,1385.02099609375,2680.748046875,0.516654669471193,513.740600585938
321,-155.8,19.23,20,13,2250,2250,13.8511695861816,814.994506835938,1716.01501464844,0.474934368218746,1504.45593261719
322,-155.21,19.7,20.6303577423096,13.420238494873,4000,4000,17.3029899597168,5859.23486328125,1589.93005371094,3.68521549083599,739.449340820312
323,-155.15,19.61,26,17,1125,1125,18.6034297943115,5449.85888671875,1779.14404296875,3.06319148708437,580.537353515625
