"PlotIDn","Long_Dec","Lat_Dec","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET","SubstrateAge_range","SubstrateAge_code"
132,-155.250529841676,19.4780176852142,17.0588417053223,4693.30712890625,22.8417091369629,128.69612121582,1208.25280761719,34.8704376220703,22.6690235137939,1181.35278320312,8000,7500
133,-155.222920882009,19.4848752208602,17.7352333068848,4642.55712890625,22.8137531280518,127.618446350098,1074.30932617188,21,14,1205.5126953125,8000,7500
134,-155.267776437572,19.4965161290474,16.5108509063721,4814.21533203125,22.9091911315918,128.904449462891,1322.38781738281,21,14,1159.357421875,8000,7500
135,-155.232012290153,19.5123872063941,17.322774887085,4750.9140625,22.9124984741211,128.591247558594,1155.1796875,21,14,1191.28332519531,1125,1125
136,-155.23307533905,19.4767164250015,17.4933700561523,4648.5654296875,22.8109474182129,127.97004699707,1122.31237792969,36.7490196228027,23.8431358337402,1197.32080078125,8000,7500
137,-155.248491889075,19.4711156344053,17.1347370147705,4636.3056640625,22.8123798370361,128.555435180664,1194.52514648438,37,24,1187.09399414062,8000,7500
138,-155.255682705051,19.5062589824451,16.7560234069824,4824.74755859375,22.9185333251953,129.183517456055,1270.7763671875,21,14,1167.423828125,20500,20000
139,-155.239026439267,19.5147300358387,17.322774887085,4750.9140625,22.9124984741211,128.591247558594,1155.1796875,21,14,1191.28332519531,20500,20000
140,-155.247760319616,19.5112347589604,17.0487308502197,4793.0615234375,22.9294013977051,129.002838134766,1207.91235351562,21,14,1179.41967773438,1125,1125
141,-158.096661111111,21.4177555555556,19.6965808868408,2548.84594726562,40.1093215942383,141.12043762207,669.104553222656,53,34,1291.51672363281,3010000,3e+06
142,-156.277379,20.827244,18.3375282287598,3694.85180664062,30.7635726928711,137.416351318359,837.3251953125,44.8498268127441,29.1098976135254,1207.93395996094,545000,460000
143,-158.19395,21.536533,20.4544258117676,2952.50317382812,37.1106491088867,138.837432861328,547.257141113281,28,18,1308.02575683594,3010000,3e+06
144,-156.907542101066,21.1463179889582,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
145,-156.907504360639,21.1407815140105,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
146,-156.905834858542,21.1486088054269,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
147,-156.908721743235,21.123998855002,16.3730297088623,5567.81396484375,38.9252052307129,143.175720214844,1202.65063476562,29.4374866485596,18.958324432373,1164.94519042969,1400000,1500000
148,-156.903254853603,21.145876589566,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
149,-156.910251673945,21.1405084013762,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
150,-156.90073319951,21.1431089401108,18.0986251831055,4991.6171875,36.8297882080078,140.844696044922,1046.26647949219,28,18,1181.95947265625,1400000,1500000
151,-156.915264716171,21.1557965495072,19.7282810211182,4371.6806640625,35.3402214050293,137.006774902344,634.204345703125,30.302885055542,19.5352573394775,1198.32275390625,1400000,1500000
152,-156.909560009539,21.1308005398486,16.7445983886719,5616.62109375,38.4846496582031,143.437133789062,1075.2646484375,33.3269271850586,21.5512866973877,1169.109375,1400000,1500000
153,-156.916488637046,21.1584577217569,22.4728183746338,3808.90600585938,34.5051536560059,133.106994628906,431.334228515625,27.2278671264648,17.4852447509766,1204.41442871094,1400000,1500000
154,-156.905669774241,21.1357014603087,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
155,-156.907772063552,21.1230840232132,16.3730297088623,5567.81396484375,38.9252052307129,143.175720214844,1202.65063476562,29.4374866485596,18.958324432373,1164.94519042969,1400000,1500000
156,-156.904154973543,21.1386900366261,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
157,-156.908203660716,21.1314249917013,16.7445983886719,5616.62109375,38.4846496582031,143.437133789062,1075.2646484375,33.3269271850586,21.5512866973877,1169.109375,1400000,1500000
158,-156.908349860167,21.14500944762,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
159,-156.907023845597,21.1372986336997,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
160,-156.904348259898,21.1345291380334,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
161,-156.907216843378,21.1427467192195,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
162,-156.907810643895,21.1436481307824,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
163,-156.899934908958,21.1314490696631,17.0329074859619,5739.89306640625,38.2853202819824,142.396255493164,975.746520996094,29.2610607147217,18.8407077789307,1156.10632324219,1400000,1500000
164,-156.904268705022,21.1442906626711,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
165,-156.899266082804,21.1379250174543,17.3879699707031,5395.96484375,37.8696746826172,142.364151000977,1162.51940917969,28,18,1169.88708496094,1400000,1500000
166,-156.902916678906,21.141862640184,17.6044330596924,5184.23193359375,37.0196342468262,142.805328369141,1051.2490234375,28.9984130859375,18.6656093597412,1178.31628417969,1400000,1500000
167,-156.904525200004,21.1370058230144,17.2214317321777,5418.4287109375,38.0075378417969,143.274169921875,1056.06884765625,30.274227142334,19.5161514282227,1172.63220214844,1400000,1500000
168,-156.910959815449,21.1538469285018,19.5233135223389,4631.06982421875,35.564094543457,138.755508422852,590.881286621094,28.3884449005127,18.2589626312256,1191.24133300781,1400000,1500000
