"Family","SPP_CODE3","SPP_CODE3A","Accepted_name_species","Genus","Species","Native_Status_USDA","Native_Status_HawFlora","Native_Status_HawFlora_simple","Is_Angio","Order","Monocot"
50,"M46","MELSPP","Melicope spp1","Melicope","spp1",NA,NA,"uncertain",1,"Sapindales",0
50,"MELBAR","MELBAR","Melicope barbigera","Melicope","barbigera",NA,"Endemic","native",1,"Sapindales",0
50,"MELORB","MELORB","Melicope orbicularis","Melicope","orbicularis",NA,"Endemic","native",1,"Sapindales",0
50,"MELPSE","MELPSE","Melicope pseudoanisata","Melicope","pseudoanisata",NA,"Endemic","native",1,"Sapindales",0
50,"MELCLU","MELCLU","Melicope clusiifolia","Melicope","clusiifolia",NA,"Endemic","native",1,"Sapindales",0
51,"XYLHAW","XYLHAW","Xylosma hawaiensis","Xylosma","hawaiensis",NA,"Endemic","native",1,"Malpighiales",0
52,"SANPAN","SANPAN","Santalum paniculatum","Santalum","paniculatum",NA,"Endemic","native",1,"Santalales",0
52,"SANELL","SANELL","Santalum ellipticum","Santalum","ellipticum",NA,"Endemic","native",1,"Santalales",0
52,"SANFRE","SANFRE","Santalum freycinetianum","Santalum","freycinetianum",NA,"Endemic","native",1,"Santalales",0
53,"SAPOAH","SAPOAH","Sapindus oahuensis","Sapindus","oahuensis",NA,"Endemic","native",1,"Sapindales",0
53,"ALEMAC","ALEMAC","Alectryon macrococcum","Alectryon","macrococcum",NA,"Endemic","native",1,"Sapindales",0
53,"DODVIS","DODVIS","Dodonaea viscosa","Dodonaea","viscosa","L48 (N), HI (I), PR (N), VI (N)","Indigenous","native",1,"Sapindales",0
54,"CHROLI","CHROLI","Chrysophyllum oliviforme","Chrysophyllum","oliviforme",NA,"Naturalized","alien",1,"Ericales",0
54,"POUSAN","POUSAN","Planchonella sandwicensis","Planchonella","sandwicensis","HI (N)","Endemic","native",1,"Ericales",0
55,"MYOSAN","MYOSAN","Myoporum sandwicense","Myoporum","sandwicense","HI (N)","Indigenous","native",1,"Lamiales",0
56,"SMIMEL","SMIMEL","Smilax melastomifolia","Smilax","melastomifolia",NA,"Endemic","native",1,"Liliales",1
57,"WIKPHI","WIKPHI","Wikstroemia phillyreifolia","Wikstroemia","phillyreifolia",NA,"Endemic","native",1,"Malvales",0
57,"WIKFUR","WIKFUR","Wikstroemia furcata","Wikstroemia","furcata",NA,"Endemic","native",1,"Malvales",0
57,"M44","WIKSPP","Wikstroemia spp1","Wikstroemia","spp1",NA,NA,"native",1,"Malvales",0
57,"WIKMON","WIKMON","Wikstroemia monticola","Wikstroemia","monticola",NA,"Endemic","native",1,"Malvales",0
57,"M68","WIKSPP","Wikstroemia spp2","Wikstroemia","spp2",NA,NA,"native",1,"Malvales",0
57,"WIKOAH","WIKOAH","Wikstroemia oahuensis","Wikstroemia","oahuensis",NA,"Endemic","native",1,"Malvales",0
57,"WIKSAN","WIKSAN","Wikstroemia sandwicensis","Wikstroemia","sandwicensis",NA,"Endemic","native",1,"Malvales",0
58,"PIPALB","PIPALB","Pipturus albidus","Pipturus","albidus","HI (N)","Endemic","native",1,"Rosales",0
