"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-154.9,19.48,382,32596492,22.9320449829102,3707.17236328125,21.9177227020264,113.426361083984,191.734741210938,34,22,1368.19763183594
-155.03,19.61,383,32379054,23.8433666229248,3532.07641601562,22.3989601135254,118.241889953613,98.178092956543,54,35,1388.24523925781
-155.02,19.71,384,32215986,24.3194675445557,2869.68627929688,22.6640529632568,117.680557250977,22.3310203552246,52.6809844970703,33.8085899353027,1386.01220703125
-154.97,19.57,385,32447005,23.9103565216064,3346.57104492188,21.8226509094238,116.158973693848,74.2720413208008,52.7704467773438,34.1802978515625,1392.39111328125
-155.09,19.63,386,32351870,22.789852142334,3862.60131835938,22.738842010498,120.656448364258,261.859619140625,34,22,1348.82788085938
-154.94,19.48,387,32596488,22.6911602020264,3647.1103515625,21.8637409210205,114.891265869141,236.440414428711,34,22,1359.73840332031
-156.04,20.72,388,30558020,18.4562091827393,4817.57373046875,29.1942596435547,133.901947021484,795.869567871094,18,12,1211.50390625
-155.65,20.04,389,31672362,17.5037498474121,2482.98706054688,27.1822948455811,133.560668945312,1062.41394042969,58.7729759216309,37.8637847900391,1198.65612792969
-155.29,19.79,390,32080069,15.1023435592651,4626.68701171875,23.9785938262939,126.154830932617,1581.896484375,21,14,1107.48559570312
-155.72,20.08,391,31604410,14.838849067688,2511.63159179688,28.1834545135498,128.91438293457,1587.01599121094,28,18,1121.39831542969
-155.29,19.55,392,32474152,15.5444498062134,4928.03759765625,23.0305767059326,127.102127075195,1535.75244140625,39,25,1112.15661621094
-155.27,19.83,393,32025715,15.927661895752,4543.314453125,24.365930557251,128.616973876953,1383.64440917969,21,14,1141.25048828125
-155.27,19.49,394,32582867,16.5452651977539,4766.04736328125,22.89035987854,128.901657104492,1319.2802734375,21,14,1161.82824707031
-155.29,19.83,395,32025713,15.166561126709,4577.74609375,24.2005653381348,126.465614318848,1540.13842773438,20.8926296234131,13.9233064651489,1113.84008789062
-155.64,19.14,396,33153572,16.9507617950439,2718.501953125,19.9227771759033,124.897148132324,1195.77856445312,15,10,1201.63684082031
-155.26,19.76,397,32134428,16.7572650909424,4495.78466796875,24.0523586273193,129.976776123047,1234.45141601562,12.5011863708496,8.33412456512451,1167.13684082031
-155.24,19.46,398,32623637,17.3525161743164,4591.2080078125,22.7603874206543,128.104843139648,1148.21911621094,37,24,1193.48071289062
-155.31,19.67,399,32283903,16.0412445068359,4570.17822265625,23.6415119171143,129.495239257812,1406.67651367188,11.0034217834473,7.57338428497314,1138.61352539062
-155.83,19.4,400,32732293,17.0402088165283,1007.71075439453,19.2856559753418,131.13591003418,1226.20874023438,20,13,1197.14392089844
-155.66,20.08,401,31604416,18.4768905639648,2538.02319335938,27.2195625305176,132.297256469727,814.390747070312,32,21,1220.05334472656
-155.67,19.15,402,33139980,16.1646118164062,2561.4501953125,19.7695465087891,124.065673828125,1359.79028320312,15,10,1174.89880371094
-155.22,19.41,403,32705173,17.3976879119873,4414.38720703125,22.6341648101807,127.045341491699,1132.35205078125,21.3755264282227,13.9250659942627,1195.37438964844
-155.59,19.15,404,33139988,19.7558612823486,2644.62573242188,20.3606414794922,123.779159545898,729.949829101562,15,10,1290.33911132812
-155.29,19.67,405,32283905,16.5845317840576,4550.35205078125,23.613748550415,130.483749389648,1293.60729980469,10,7,1159.25524902344
-155.27,19.87,406,31957769,15.854323387146,4470.8203125,24.5733909606934,128.431427001953,1383.669921875,9.2060022354126,6.1373348236084,1139.10888671875
-156.16,20.79,407,30449296,17.5673770904541,5610.97021484375,27.9787826538086,137.24446105957,955.935241699219,18,12,1190.35314941406
-155.29,19.71,408,32215960,16.8934574127197,4429.9697265625,23.8283519744873,130.574035644531,1224.21301269531,16.8150520324707,10.8943157196045,1170.88830566406
-159.62,22.14,409,28233945,15.9134654998779,2768.79443359375,26.611198425293,154.382049560547,1185.7392578125,28,18,1157.92248535156
-155.23,19.68,410,32270322,18.7654609680176,4352.9072265625,23.4791107177734,127.293472290039,869.868957519531,10,7,1232.57104492188
-155.27,19.92,411,31876235,17.1612567901611,4203.24658203125,24.6769046783447,128.783905029297,1108.15246582031,15,10,1182.91918945312
-155.23,19.54,412,32501336,17.3703289031982,4728.46728515625,22.9925022125244,128.71891784668,1151.75952148438,18.1772308349609,12.2036924362183,1189.18530273438
-155.61,20.05,413,31658777,18.496826171875,2411.39770507812,25.8561153411865,131.667007446289,858.469970703125,53.3827857971191,34.5370903015137,1225.67907714844
-155.17,19.54,414,32501342,19.2896366119385,4423.2666015625,22.835657119751,124.897041320801,795.016357421875,41.1027908325195,26.7351951599121,1255.88024902344
-155.53,19.21,415,33044870,19.6869297027588,2843.21533203125,20.966968536377,125.015983581543,705.182312011719,15,10,1286.68041992188
-155.89,19.58,416,32433327,18.0788249969482,961.597351074219,21.6241989135742,134.753265380859,1023.6865234375,34.3494606018066,22.2973899841309,1228.6416015625
-155.83,19.44,417,32664347,17.3417682647705,1006.28820800781,19.6380844116211,132.27717590332,1170.63317871094,20,13,1208.15356445312
-155.5,19.24,418,32990517,19.2438144683838,3071.79370117188,21.2877254486084,125.79460144043,825.236022949219,15,10,1266.37976074219
-155.75,20.18,419,31441338,20.9535274505615,2050.33154296875,28.1702079772949,130.407470703125,469.856964111328,28,18,1273.98107910156
-155.02,19.46,420,32623658,21.5151386260986,3857.7705078125,22.0565910339355,118.005668640137,428.594909667969,28,18,1324.17785644531
-155.63,19.1,421,33221519,19.238187789917,2418.34106445312,20.1257286071777,122.87060546875,784.920288085938,15,10,1280.20043945312
-155.12,19.59,422,32419812,21.1864891052246,4125.4716796875,22.8077507019043,122.500518798828,504.804748535156,26,17,1304.12243652344
